auction_area_prices_2026
AUCTION NAME,AREA PRICE $,AREA PRICE JPY
ARAI BAYSIDE,35,4000
ARAI OYAMA,110,14000
ARAI OYAMA V/T,110,14000
ARAI SENDAI,130,16500
BAYAUC,45,5500
BDS KANSAI,50,6000
BDS KANTO,50,6000
BDS KYUSHU,50,6000
CAA CHUBU,50,6000
CAA GIFU,50,6500
CAA TOHOKU,210,27000
CAA TOKYO,70,8500
HAA KOBE,45,5500
HERO,75,9500
HONDA HOKKAIDO,225,29000
HONDA KANSAI,45,5500
HONDA KYUSHU,70,8500
HONDA NAGOYA,40,5000
HONDA SENDAI,130,16500
HONDA TOKYO,75,9500
I-AUC(ISUZU KOBE),120,15500
I-AUC(ISUZU KYUSHU),125,16000
I-AUC(ISUZU TOKYO),160,20500
IAA OSAKA,45,5500
JAA,60,7500
JU AICHI,40,5000
JU AOMORI,270,34000
JU CHIBA,65,8000
JU FUKUI,115,14500
JU FUKUOKA,50,6000
JU FUKUSHIMA,130,16500
JU GIFU,50,6500
JU GUNMA,100,13000
JU HIROSHIMA,150,19000
JU IBARAKI,105,13500
JU ISHIKAWA,105,13500
JU KANAGAWA,95,12000
JU KUMAMOTO,125,16000
JU MIE,75,9500
JU MIYAGI,130,16500
JU MIYAZAKI,175,22000
JU NAGANO,175,22000
JU NAGASAKI,180,23000
JU NARA,60,7500
JU NIIGATA,195,25000
JU OITA,110,14000
JU OKINAWA,365,47000
JU SAITAMA,70,8500
JU SAPPORO,225,29000
JU SHIMANE,210,27000
JU SHIZUOKA,105,13500
JU TOCHIGI,120,15500
JU TOKYO,70,8500
JU TOYAMA,105,13500
JU YAMAGATA,150,19000
JU YAMAGUCHI,85,11000
JU YAMANASHI,155,20000
KCAA FUKUOKA,50,6000
KCAA KYOTO,60,7500
KCAA MINAMIKYUSHU,155,20000
KCAA YAMAGUCHI,85,11000
LAA OKAYAMA,85,11000
LAA SHIKOKU,125,16000
LUM FUKUOKA,60,7500
LUM KOBE,60,7500
LUM NAGOYA,50,6000
LUM SAPPORO,255,32000
LUM TOKYO,125,16000
MIRIVE AICHI,40,5000
MIRIVE OSAKA,50,6500
MIRIVE SAITAMA,75,9500
NAA FUKUOKA,50,6000
NAA NAGOYA,50,6000
NAA OSAKA,45,5500
NAA TOKYO,40,5000
NOAA,40,5000
NPS CHUBU,40,5000
NPS FUKUOKA,50,6000
NPS OSAKA,45,5500
NPS SENDAI,130,16500
NPS TOCHIGI,115,14500
NPS TOKYO,70,8500
NPS TOMAKOMAI,235,30000
ORIX ATSUGI,70,9000
ORIX FUKUOKA,50,6000
ORIX KOBE,45,5500
ORIX SENDAI,130,16500
SAA HAMAMATSU,95,12000
SAA SAPPORO,225,29000
TAA CHUBU,45,5500
TAA HIROSHIMA,140,18000
TAA HOKKAIDO,225,29000
TAA HYOGO,40,5000
TAA KANTO,60,7500
TAA KINKI,45,5500
TAA KYUSHU,50,6000
TAA MINAMIKYUSHU,155,20000
TAA SHIKOKU,125,16000
TAA TOHOKU,130,16500
TAA YOKOHAMA,35,4000
USS FUKUOKA,50,6000
USS GUNMA,100,13000
USS KOBE,45,5500
USS KYUSHU,50,6000
USS NAGOYA,45,5500
USS NIIGATA,205,26000
USS OKAYAMA,105,13500
USS OSAKA,45,5500
USS R NAGOYA,45,5500
USS SAITAMA,95,12000
USS SAPPORO,235,30000
USS SHIZUOKA,120,15000
USS TOHOKU,130,16500
USS TOKYO,70,9000
USS YOKOHAMA,35,4000
ZERO CHIBA,70,8500
ZERO HAKATA,50,6000
ZERO HOKKAIDO,240,31000
ZERO OSAKA,45,5500
ZERO SENDAI,130,16500
ZERO SYONAN,85,11000
ZIP OSAKA,50,6500
ZIP TOKYO,40,5000
